,Capital,Costs,,,,,,,,,,,,
,Capacity (GWh),Capacity (MWh),Capacity (kWh),Total Capital Cost (GBP),Lifetime (years),capacity factor,Capital Cost (GBP / kWh),,,,,,,Links
Nuclear,3.2,3200,3200000,9000000000,60,0.9,0.005945586,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=17&cad=rja&uact=8&ved=2ahUKEwjM16-3jpXnAhWZiVwKHa69CH4QFjAQegQIChAB&url=https%3A%2F%2Fwww.imperial.ac.uk%2Fmedia%2Fimperial-college%2Fresearch-centres-and-groups%2Ficept%2FCost-estimates-for-nuclear-power-in-the-UK.pdf&usg=AOvVaw3vsvqrKgtxT62qtiM3hBid
Coal,,,,,,,,,,,,,,
CCGT,,,,,,,,,,,,,,
Onshore,,,,,,,,,,,,,,
Offshore,,,,,,,,,,,,,,
Solar,,,,,,,,,,,,,,
Hydro,,,,,,,,,,,,,,
Biomass,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Fixed O&M,Costs,,,,,,,,,,,,
,Capacity (GWh),Capacity (MWh),Capacity (kWh),Total Capital Cost (GBP),Lifetime (years),capacity factor,Capital Cost per kWh,,,,,,,
Nuclear,3.2,3200,3200000,9000000000,60,0.9,0.005945586,,,,,,,
Coal,,,,,,,,,,,,,,
CCGT,,,,,,,,,,,,,,
Onshore,,,,,,,,,,,,,,
Offshore,,,,,,,,,,,,,,
Solar,,,,,,,,,,,,,,
Hydro,,,,,,,,,,,,,,
Biomass,,,,,,,,,,,,,,
